Lon_dec,Lat_dec,Year,Scientific_name,Original_scientific_name,Depth_min,Depth_max,SST,Genus,Species,Year_extra,Month,Day
-128.1683807,51.38641739,2016,Pyrosoma,"Pyrosoma",NaN,NaN,10.13,Pyrosoma,,NaN,NaN,NaN
125.42,16.992,1968,Pyrosoma,"Pyrosoma",0,122,28.5,Pyrosoma,,1968,NaN,NaN
129.57,10.88,1968,Pyrosoma,"Pyrosoma",0,155,29.12,Pyrosoma,,1968,NaN,NaN
173.571167,-43.463333,2016,Pyrosoma atlanticum,"Pyrosoma atlanticum",110,116,12.36,Pyrosoma,Pyrosoma atlanticum,2016,4,26
123.98,13.75,1969,Pyrosoma,"Pyrosoma",0,60.09,28.69,Pyrosoma,,1969,NaN,NaN
123.292,14.95,1969,Pyrosoma,"Pyrosoma",0,150,28.75,Pyrosoma,,1969,NaN,NaN
125.425,17,1969,Pyrosoma,"Pyrosoma",0,150,28.5,Pyrosoma,,1969,NaN,NaN
129.1,6.742,1968,Pyrosoma,"Pyrosoma",0,150,29.16,Pyrosoma,,1968,NaN,NaN
125.78,14.33,1968,Pyrosoma,"Pyrosoma",0,141,28.92,Pyrosoma,,1968,NaN,NaN
129.57,10.892,1969,Pyrosoma,"Pyrosoma",0,150,29.12,Pyrosoma,,1969,NaN,NaN
124.208,18.17,1969,Pyrosoma,"Pyrosoma",0,150,28.22,Pyrosoma,,1969,NaN,NaN
128.1,6.742,1968,Pyrosoma,"Pyrosoma",0,147,29.19,Pyrosoma,,1968,NaN,NaN
121.87,15.38,1969,Pyrosoma,"Pyrosoma",0,150,28.49,Pyrosoma,,1969,NaN,NaN
103.83,1.215,1969,Pyrosoma,"Pyrosoma",0,0,29.18,Pyrosoma,,1969,NaN,NaN
129.175,15.23,1969,Pyrosoma,"Pyrosoma",0,150,28.84,Pyrosoma,,1969,NaN,NaN
110,-12.5,1963,Pyrosomatidae,"Pyrosomatidae",0,200,27.99,,,1963,NaN,NaN
